n_estimators,learning_rate,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1
15,0.001,0.6,0.2,0.2,0.9855187055192828,0.6812601318925052,0.9656671012603216,0.7677304964539007,0.941304347826087,0.845703125,0.9805876599866464,0.6814420812121005,0.9628664495114008,0.7621621621621621,0.9155844155844156,0.831858407079646,0.9855353139808746,0.6813466744249076,0.965472312703583,0.7747252747252747,0.9215686274509804,0.8417910447761194
15,0.001,0.7,0.15,0.15,0.987773188750062,0.6811603227151269,0.968342644320298,0.7827426810477658,0.9459962756052142,0.8566610455311973,0.9592538190364276,0.6812978940806315,0.9635099913119028,0.7829457364341085,0.8782608695652174,0.8278688524590164,0.9892479435957696,0.6812098079047637,0.9661164205039096,0.7676056338028169,0.9478260869565216,0.8482490272373541
15,0.001,0.7,0.2,0.1,0.9852010803211364,0.6811397582376016,0.9724343453157012,0.8132045088566827,0.9404096834264432,0.8721934369602763,0.9865781334241368,0.6813030287236567,0.9648208469055376,0.776536312849162,0.9084967320261438,0.8373493975903614,0.9882722198207003,0.6813610186117316,0.9609375,0.7526881720430108,0.9090909090909092,0.8235294117647058
15,0.001,0.8,0.1,0.1,0.9891236380918116,0.6810598000486293,0.9678943937418514,0.776595744680851,0.9526916802610114,0.8556776556776556,0.9791098915556224,0.6810837283781906,0.9661458333333334,0.7802197802197802,0.922077922077922,0.8452380952380952,0.9877459732741932,0.6812055185860927,0.9609375,0.7422680412371134,0.935064935064935,0.8275862068965517
15,0.0013,0.6,0.2,0.2,0.985502697709571,0.677759514035885,0.9650152107779226,0.763668430335097,0.941304347826087,0.8432327166504382,0.9804418969878782,0.6779971983078433,0.9635179153094464,0.7663043478260869,0.9155844155844156,0.834319526627219,0.9876800696158832,0.6778700453313008,0.965472312703583,0.7747252747252747,0.9215686274509804,0.8417910447761194
15,0.0013,0.7,0.15,0.15,0.9878205817315084,0.6776214482222389,0.968342644320298,0.7827426810477658,0.9459962756052142,0.8566610455311973,0.9594384757428236,0.6777984330716378,0.9635099913119028,0.7829457364341085,0.8782608695652174,0.8278688524590164,0.9896634211851604,0.6776922129169919,0.9661164205039096,0.7676056338028169,0.9478260869565216,0.8482490272373541
15,0.0013,0.7,0.2,0.1,0.985206861149136,0.6775983776408107,0.9724343453157012,0.8132045088566827,0.9404096834264432,0.8721934369602763,0.986573404084258,0.6778102075272124,0.9648208469055376,0.776536312849162,0.9084967320261438,0.8373493975903614,0.9882722198207003,0.6778851256806199,0.9609375,0.7526881720430108,0.9090909090909092,0.8235294117647058
15,0.0013,0.8,0.1,0.1,0.9891233427231046,0.6774951988508612,0.9678943937418514,0.776595744680851,0.9526916802610114,0.8556776556776556,0.9790723025165862,0.6775266861636844,0.9661458333333334,0.7802197802197802,0.922077922077922,0.8452380952380952,0.9876895897156388,0.6776842782530661,0.9609375,0.7422680412371134,0.935064935064935,0.8275862068965517
15,0.0016,0.6,0.2,0.2,0.9855386496756452,0.6742647264125115,0.9665362885701868,0.7732142857142857,0.941304347826087,0.8490196078431372,0.9806817006310128,0.6745561346236555,0.9648208469055376,0.7717391304347826,0.922077922077922,0.8402366863905325,0.9859042024914164,0.6744073024854115,0.9661237785016288,0.7790055248618785,0.9215686274509804,0.844311377245509
15,0.0016,0.7,0.15,0.15,0.9878190404963392,0.6741122625609793,0.9679702048417133,0.77947932618683,0.947858472998138,0.8554621848739495,0.9595014268927312,0.6743276916155247,0.9635099913119028,0.7829457364341085,0.8782608695652174,0.8278688524590164,0.9896634211851604,0.674200657210373,0.9652476107732406,0.7622377622377622,0.9478260869565216,0.8449612403100775
